"EBFIRMWIDERATING", "EBSTANDARDID", "MANUFACTURER", "PRODUCTTYPE", "STATUS", "CPUSOCKETMIN", "CPUSOCKETMAX", "CPUCOREMAX", "INVESTDATE", "MAINTAINDATE", "CATALOGID", "MODEL", "PRODUCTCLASS", "VERUMIDENTIFIER", "FREESTANDING", "CERTIFICATIONDATE", "ENDOFSERVICEABLELIFEDATE", "BULKINVENTORY", "VERUMSOR", "VERUMMODIFIEDDATE","VERUMLASTMODIFIEDBY", "VERUMCREATEDBY", "VERUMCREATEDDATE", "PHYSICALORLOGICAL", "PRODUCTCATEGORY", "DCOBILLABLE", "AUDITSHELFLIFEMONTHS","FORECASTINGAVAILABLEDATE", "DEPLOYMENTAVAILABLEDATE", "REQUIRESEQUIPMENTWAIVER", "TOAIRBTU", "TOAIRWATT", "HEIGHTIN", "WIDTHIN", "DEPTHIN", "HEIGHTMM", "WIDTHMM", "DEPTHMM", "WEIGHTLBS", "WEIGHTKG", "FLOORSPACESQFT", "JPMCRACKUHEIGHT", "NAMEPLATERUNNINGKVA", "NAMEPLATERUNNINGKW","JPMCDERATEDRUNNINGKVA", "JPMCDERATEDRUNNINGKW", "REPORTEDRUNNINGKVA","REPORTEDRUNNINGKW", "NAMEPLATESTARTUPKVA", "NAMEPLATESTARTUPKW","JPMCDERATEDSTARTUPKVA", "JPMCDERATEDSTARTUPKW", "REPORTEDSTARTUPKVA", "REPORTEDSTARTUPKW","CREATEDBY","CREATEDWHEN", "MODIFIEDBY","MODIFIEDWHEN","APERTUREMAKE","APERTUREMODEL","APERTUREMODELINFO", "JPMCDERATEDDATE", "GLOBALANNOUNCEMENTDATE", "ENDOFMANUFACTUREDATE", "MUSEUMDATE", "ARCHITECTURE", "OK4RMA", "PRODUCTCLASSID", "LIFECYCLESTATUS", "RELEASEVERSION", "PROHIBITEDDATE", "IPADDRESSAPLICABLE"
"Not in SEAL",,"IBM","DC INFRASTRUCTURE", "Closed",,,,,,,,"3917","3470","MONITOR","3917","N",,,"N","GPC",07-May-25 02.14.52.451233000 AM -04:00, "BATCH","",,"P", "DC ACCESSORY", "N","",,,"N", "0","0","14","0","0","356","0","0","0","0","0","8","0","0","0","0",".2556",".23","0","0","0","0","0","0","SYSTEM ",28-NOV-07 12.00.00.00000000 AM UTC, "SYSTEM ",15-DEC-17 12.00.00.00000000 AM UTC, "", "","",,,,,"","Unknown","626","Not in SEAL","",,"Y"
"MAINTAIN",2072349,"IBM","DISTRIBUTED SERVER", "Active",,,,,08-JUL-29 12.00.00.00000000 AM UTC, 20-MAR-24 12.00.00.00000000 AM UTC, 10-MAR-26 12.00.00.00000000 AM UTC, "54676", "IBM POWER 9 E980 EXPANSION", "SERVER EXPANSION", "54676", "N",,10-JAN-25 12.00.00.000000 AM UTC, "N", "GPC", 07-MAY-25 02.14.54.451233000 AM -04:00, "Batch", "Batch", 06-APR-20 09.00.19.768846000 PM -4:00, "P", "DEVICE", "Y", "12",,,"N","0","0","8.75","19","31.6","222", "482","802","0","0","0","5",".51",".51","3.259","3.259",".357",".357","0","0","0","0","0","0","U424790",06-APR-20 12.00.00.00000000 AM UTC,"IBM","P9 E980 EXPANSION","C: FC EMX0",12-MAY-20 12.00.00.00000000 AM UTC,,,,"", "Unknown", "6","Maintain","",01-SEP-27 12.00.00.00000000 AM UTC,"Y"
"Prohibited",1000526,"SYBASE","DB ISNTANCE","Active",,,,,,,01-JAN-14 12.00.00.00000000 AM UTC, "9113","OPEN SERVER 12.5", "DBI SYBASE", "9113","N",,07-JUN-15 12.00.00.00000000 AM UTC,"N","GPC",07-MAY-25 02.14.52.451233000 AM -04:00, "Batch","",,"L","SOFTWARE","Y","",,,"N","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SYSTEM ",13-DEC-07 12.00.00.00000000 AM UTC, "SYSTEM ",07-APR-20 12.00.00.00000000 AM UTC, "","","",,,,,"","Unknown","118","Prohibited","",08-JUN-15 12.00.00.00000000 AM UTC,"Y"
