"VERUMIDENTIFIER", "REQUESTTRACKERID", "OBJECTID", "OBJECTNAME", "RELATEDOBJECTID", "RELATEDOBJECTNAME", "ATTRIBUTENAME", "OLDVALUE", "NEWVALUE", "VERUMSOR", "VERUMCREATEDBY", "VERUMCREATEDDATE", "VERUMLASTMODIFIEDBY", "VERUMMODIFIEDDATE", "VERUMSTATUS", "VERUMRETIREDDATED", "ENTITLEMENTUSED"
"72549450OSI207984762_207984762_catalogID", "72549450OSI207984762", "207984762", "OSI","207984762", "", "CATALOGID", "1001","1002", "ICPW","K022704", 17-JAN-25 08.06.41.052000000 AM UTC, "",,"",,"BUILD_PROVISIONING_OSI"
"72549450OSI207984762_207984762_catalogID", "72549450OSI207984762", "207984762", "OSI","207984762", "", "CATALOGID", "58330","60000", "ICPW","K022704", 18-JAN-25 09.10.00.000000000 AM UTC, "",,"",,"BUILD_PROVISIONING_OSI"
"72549528WEBSERVER208292258_208292258_model", "72549528WEBSERVER208292258", "208292258", "WEBSERVER","208292258", "", "MODEL", "APACHE TOMCAT 9.0.95", "APACHE TOMCAT 9.0.98","BOOMERANG", "I765403",17-JAN-25 08.14.04.635000000 AM UTC,"",,"",,"BUILD_PROVISIONING_WEB"
